carat;cut;color;clarity;price
0.23;4;6;2;326
0.21;5;6;3;326
0.23;2;6;5;327
0.29;5;2;4;334
0.31;2;1;2;335
0.24;3;1;6;336
0.24;3;2;7;336
0.26;3;3;3;337
0.22;1;6;4;337
0.23;3;3;5;338
0.3;2;1;3;339
0.23;4;1;5;340
0.22;5;5;3;342
0.31;4;1;2;344
0.2;5;6;2;345
0.32;5;6;1;345
0.3;4;2;2;348
0.3;2;1;3;351
0.3;2;1;3;351
0.3;3;1;3;351
0.3;2;2;2;351
0.23;3;6;4;352
0.23;3;3;5;353
0.31;3;1;3;353
0.31;3;1;3;353
0.23;3;4;6;354
0.24;5;2;5;355
0.3;3;1;4;357
0.23;3;7;4;357
0.23;3;5;5;357
0.23;3;5;5;402
0.23;3;5;5;402
0.23;3;6;5;402
0.23;3;6;5;402
0.23;3;7;5;402
0.23;2;5;5;402
0.23;2;6;5;402
0.31;2;3;3;402
0.26;3;7;4;403
0.33;4;2;2;403
0.33;4;2;2;403
0.33;4;1;3;403
0.26;2;7;4;403
0.26;2;7;5;403
0.32;2;3;2;403
0.29;5;5;3;403
0.32;3;3;2;403
0.32;2;3;2;403
0.25;3;6;4;404
0.29;3;3;2;404
0.24;3;5;3;404
0.23;4;4;5;404
0.32;4;2;3;404
0.22;5;6;4;404
0.22;5;7;4;404
0.3;4;2;2;405
0.3;5;1;2;405
0.3;3;2;3;405
0.3;3;2;3;405
0.3;2;2;3;405
0.35;4;2;5;552
0.3;5;7;3;552
0.3;4;7;3;552
0.3;4;7;3;552
0.42;5;2;2;552
0.28;4;4;6;553
0.32;4;2;7;553
0.31;3;4;3;553
0.31;5;4;3;553
0.24;5;6;7;553
0.24;3;7;7;553
0.3;3;3;3;554
0.3;5;3;3;554
0.3;5;3;3;554
0.3;2;3;3;554
0.26;3;5;6;554
0.26;3;6;6;554
0.26;3;7;6;554
0.26;3;7;6;554
0.26;3;6;7;554
0.26;3;6;7;554
0.26;3;7;7;554
0.26;4;6;6;554
0.38;4;2;2;554
0.26;2;6;7;554
0.24;5;4;7;554
0.24;5;3;7;554
0.24;5;3;7;554
0.24;5;3;6;554
0.32;5;2;3;554
0.7;4;6;3;2757
0.86;1;6;2;2757
0.7;4;4;4;2757
0.71;3;6;4;2759
0.78;3;4;2;2759
0.7;2;6;4;2759
0.7;2;5;5;2759
0.96;1;5;2;2759
0.73;3;6;3;2760
0.8;5;3;3;2760
0.75;3;7;3;2760
0.75;5;6;3;2760
0.74;4;4;3;2760
0.75;5;4;4;2760
0.8;4;2;5;2760
0.75;4;4;3;2760
0.8;5;4;3;2760
0.74;4;2;6;2761
0.81;4;5;2;2761
0.59;4;6;6;2761
0.8;4;5;2;2761
0.74;4;6;2;2761
0.9;5;2;4;2761
0.74;3;4;3;2762
0.73;4;5;4;2762
0.73;4;5;4;2762
0.8;5;5;2;2762
0.71;4;4;4;2762
0.7;4;6;4;2762
0.8;4;5;2;2762
0.71;4;7;2;2762
0.74;4;6;3;2762
0.7;3;5;4;2762
0.7;1;5;4;2762
0.7;1;5;4;2762
0.7;5;5;4;2762
0.91;5;3;3;2763
0.61;3;7;6;2763
0.91;1;3;2;2763
0.91;1;3;2;2763
0.77;4;3;4;2763
0.71;3;7;3;2764
0.71;4;7;3;2764
0.7;3;6;4;2765
0.77;3;3;5;2765
0.63;5;6;7;2765
0.71;3;5;5;2765
0.71;5;5;5;2765
0.76;4;3;3;2765
0.64;4;4;7;2766
0.71;5;4;4;2766
0.71;5;4;4;2766
0.7;3;7;4;2767
0.7;3;5;5;2767
0.71;4;7;2;2767
0.7;2;3;6;2767
0.71;3;4;5;2768
0.73;3;7;3;2768
0.7;3;7;3;2768
